id,name,symbol,slug,infinite_supply,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,tvl_ratio,platform,self_reported_circulating_supply,self_reported_market_cap,minted_market_cap,tags,quote.USD.price,quote.USD.volume_24h,quote.USD.cex_volume_24h,quote.USD.dex_volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.slug,platform.name,platform.symbol,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,False,20046228.0,20046228.0,21000000.0,2010-07-13T00:00:00.000Z,12661,1,2026-06-22T05:19:00.000Z,,,,,1286599861127.83,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",64181.64360536186,18851865537.78739,18837994877.01466,13870660.77273627,11.1664,0.40223253,0.0353461,-2.27595901,-14.93242006,-17.67662541,-8.59709169,1286599861127.826,58.445,1347814515712.6,,2026-06-22T05:19:00.000Z,,,,,,2026-06-22 10:19:56.053157
1027,Ethereum,ETH,ethereum,True,120683877.0940639,120683877.0940639,,2015-08-07T00:00:00.000Z,12096,2,2026-06-22T05:18:00.000Z,,,,,209326049387.74,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities', 'anubis-ecosystem']",1734.4988777961187,9826358518.901814,9756257639.857082,70100879.04472412,24.8481,0.19970386,0.27506991,1.02006972,-15.98574579,-26.18145561,-18.78912886,209326049387.73856,9.5088,209326049387.74,,2026-06-22T05:18:00.000Z,,,,,,2026-06-22 10:19:56.053157
825,Tether USDt,USDT,tether,True,186436672998.23212,193153431951.95782,,2015-02-25T00:00:00.000Z,186541,3,2026-06-22T05:18:00.000Z,,,,,192921256490.86,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",0.9987979739280168,47188738769.86654,45950124344.92592,1238614424.940656,11.801,-0.00409394,0.00292796,-0.06063462,-0.00323094,-0.13938572,-0.09664054,186212571256.51443,8.4589,192921256490.86,,2026-06-22T05:18:00.000Z,1027.0,ethereum,Ethereum,ETH,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-06-22 10:19:56.053157
1839,BNB,BNB,bnb,False,134783372.81,134783372.81,134783373.61,2017-07-25T00:00:00.000Z,3281,4,2026-06-22T05:17:00.000Z,,,,,79559886631.1,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",590.2796834090936,830980860.8549798,816813297.2617983,14167563.59318164,5.2778,0.15493501,0.31282485,-4.29336045,-9.07308884,-7.27808284,-5.93595663,79559886631.09663,3.6167,79559887103.32,,2026-06-22T05:17:00.000Z,,,,,,2026-06-22 10:19:56.053157
3408,USDC,USDC,usd-coin,False,74825828633.49374,74825828633.49374,,2018-10-08T00:00:00.000Z,40578,5,2026-06-22T05:17:00.000Z,,,60901219650.23,60890606086.82866,74812788358.1,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",0.9998257249450455,5909028351.924367,4408795429.665612,1500232922.2587395,23.7485,-0.0078025,0.01446267,0.00934176,0.0001799,0.0114784,-0.01256943,74812788358.09663,3.4009,74812788358.1,,2026-06-22T05:17:00.000Z,1027.0,ethereum,Ethereum,ETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2026-06-22 10:19:56.053157
52,XRP,XRP,xrp,False,62053900985.0,99985653167.0,100000000000.0,2013-08-04T00:00:00.000Z,1844,6,2026-06-22T05:18:00.000Z,,,,,113548242882.74,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",1.135645357970382,1093654631.7967691,1093118474.3915496,536157.40521968,31.6203,0.4227733,-0.71704903,-4.04992394,-14.88043891,-19.94012771,-19.45117175,70471224597.56897,3.2012,113564535797.04,,2026-06-22T05:18:00.000Z,,,,,,2026-06-22 10:19:56.053157
5426,Solana,SOL,solana,True,580289924.4409355,628819479.1322082,,2020-04-10T00:00:00.000Z,1141,7,2026-06-22T05:19:00.000Z,,,525236893.3,38857977102.918564,46521204495.88,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities', 'coinlist-launchpad']",73.98181201396304,2154992381.7867846,2154986264.7921553,6116.99462926,13.3141,0.59561212,1.2579404,4.27974029,-12.26679087,-13.93242212,-17.87995698,42930900103.586105,1.9502,46521204495.88,,2026-06-22T05:19:00.000Z,,,,,,2026-06-22 10:19:56.053157
1958,TRON,TRX,tron,True,94839536586.09816,94839530651.05367,,2017-09-13T00:00:00.000Z,1348,8,2026-06-22T05:19:00.000Z,,,94667886298.43,31041628597.456924,31097910832.68,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",0.3279003029559743,371826184.90987986,371783824.29982233,42360.61005748,-29.433,0.02216649,0.56301967,2.24474754,-9.26512309,-0.27862622,5.70665859,31097912778.785797,1.4127,31097910832.68,,2026-06-22T05:19:00.000Z,,,,,,2026-06-22 10:19:56.053157
32196,Hyperliquid,HYPE,hyperliquid,False,253257009.79546615,953815084.7948067,953815406.6040194,2024-07-15T10:14:50.000Z,276,9,2026-06-22T05:17:00.000Z,,,333931719.0,22068602701.798107,63034940856.63,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perpetuals']",66.08717125730158,451392554.0557575,385146558.6624487,66245995.3933088,1.41,0.5673499,-4.36777442,1.86686511,19.65763558,60.9982811,73.60357352,16737039378.465075,0.7608,63034962124.09,,2026-06-22T05:17:00.000Z,32196.0,hyperliquid,Hyperliquid,HYPE,0x0d01dc56dcaaca66ad901c959b4011ec,2026-06-22 10:19:56.053157
74,Dogecoin,DOGE,dogecoin,True,170473763126.57907,170473763126.57907,,2013-12-15T00:00:00.000Z,1450,10,2026-06-22T05:18:00.000Z,,,,,14206088722.36,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",0.08333299190332664,345845174.91066664,345593726.07419956,251448.83646706,5.8673,0.38515382,0.05698935,-5.86794257,-17.81411339,-13.23088174,-10.83448752,14206088722.356838,0.6453,14206088722.36,,2026-06-22T05:18:00.000Z,,,,,,2026-06-22 10:19:56.053157
